From Date,To Date,Ozone,CO,SO2,NO2,PM10,PM2.5,State,City,Station
03-11-2021 00:00,04-11-2021 00:00,31.81,3.39,7.33,95.15,277.81,172.52,Delhi,Delhi,"DTU, Delhi - CPCB"
04-11-2021 00:00,05-11-2021 00:00,30.77,2.88,8.67,67.34,380.04,271.39,Delhi,Delhi,"DTU, Delhi - CPCB"
05-11-2021 00:00,06-11-2021 00:00,24.64,3.3,9.42,68.63,492.19,275.97,Delhi,Delhi,"DTU, Delhi - CPCB"
06-11-2021 00:00,07-11-2021 00:00,35.37,2.47,8.49,58.21,348.85,248.18,Delhi,Delhi,"DTU, Delhi - CPCB"
07-11-2021 00:00,08-11-2021 00:00,36.57,2.52,8.55,73.39,356.91,235.88,Delhi,Delhi,"DTU, Delhi - CPCB"
08-11-2021 00:00,09-11-2021 00:00,37.4,2.45,8.44,81.6,338.15,209.2,Delhi,Delhi,"DTU, Delhi - CPCB"
09-11-2021 00:00,10-11-2021 00:00,32.88,2.66,8.62,87.7,380.89,,Delhi,Delhi,"DTU, Delhi - CPCB"
10-11-2021 00:00,11-11-2021 00:00,28.78,3.07,8.75,121.53,317.7,252.45,Delhi,Delhi,"DTU, Delhi - CPCB"
11-11-2021 00:00,12-11-2021 00:00,20.39,3.93,7.75,150.17,434.16,369.13,Delhi,Delhi,"DTU, Delhi - CPCB"
12-11-2021 00:00,13-11-2021 00:00,23.8,4.02,7.96,101.76,451.81,387.18,Delhi,Delhi,"DTU, Delhi - CPCB"
13-11-2021 00:00,14-11-2021 00:00,29.3,3.01,7.85,22.52,348.41,285.55,Delhi,Delhi,"DTU, Delhi - CPCB"
14-11-2021 00:00,15-11-2021 00:00,26.54,2.34,8.04,13.21,287.86,222.71,Delhi,Delhi,"DTU, Delhi - CPCB"
15-11-2021 00:00,16-11-2021 00:00,26.84,2.16,7.76,12.06,283.28,224.86,Delhi,Delhi,"DTU, Delhi - CPCB"
16-11-2021 00:00,17-11-2021 00:00,32.47,2.16,7.89,11.42,331.05,278.12,Delhi,Delhi,"DTU, Delhi - CPCB"
17-11-2021 00:00,18-11-2021 00:00,34,2.41,8.23,11.22,287.99,240.34,Delhi,Delhi,"DTU, Delhi - CPCB"
18-11-2021 00:00,19-11-2021 00:00,32.82,2.81,8.7,11.22,311.51,252.34,Delhi,Delhi,"DTU, Delhi - CPCB"
19-11-2021 00:00,20-11-2021 00:00,16.25,2.98,8.2,11.75,349.99,304.12,Delhi,Delhi,"DTU, Delhi - CPCB"
20-11-2021 00:00,21-11-2021 00:00,16.4,1.86,8.46,11.58,279.56,227.78,Delhi,Delhi,"DTU, Delhi - CPCB"
21-11-2021 00:00,22-11-2021 00:00,32.5,1.12,7.76,10.55,221.87,182.25,Delhi,Delhi,"DTU, Delhi - CPCB"
22-11-2021 00:00,23-11-2021 00:00,34.58,0.9,9,10.39,244.82,151.6,Delhi,Delhi,"DTU, Delhi - CPCB"
23-11-2021 00:00,24-11-2021 00:00,24.65,1.85,9.26,11.78,254.28,174.02,Delhi,Delhi,"DTU, Delhi - CPCB"
24-11-2021 00:00,25-11-2021 00:00,40.12,3.88,9.13,14.12,370.8,278.41,Delhi,Delhi,"DTU, Delhi - CPCB"
25-11-2021 00:00,26-11-2021 00:00,30.88,3.45,9.34,13.27,389.01,299.04,Delhi,Delhi,"DTU, Delhi - CPCB"
26-11-2021 00:00,27-11-2021 00:00,36.52,3.07,9.3,12.56,337.28,277.22,Delhi,Delhi,"DTU, Delhi - CPCB"
27-11-2021 00:00,28-11-2021 00:00,57.1,3.45,11.33,13.71,363.55,280,Delhi,Delhi,"DTU, Delhi - CPCB"
28-11-2021 00:00,29-11-2021 00:00,46.81,2.21,10.07,11.24,321.76,258.95,Delhi,Delhi,"DTU, Delhi - CPCB"
29-11-2021 00:00,30-11-2021 00:00,50.73,2.13,10.6,11.45,285.13,220.47,Delhi,Delhi,"DTU, Delhi - CPCB"
30-11-2021 00:00,01-12-2021 00:00,56.62,1.37,10.06,10.92,247.68,184.6,Delhi,Delhi,"DTU, Delhi - CPCB"
01-12-2021 00:00,02-12-2021 00:00,32.43,2.27,6.14,11.05,358.33,276.66,Delhi,Delhi,"DTU, Delhi - CPCB"
02-12-2021 00:00,03-12-2021 00:00,31.07,1.91,6.02,10.65,325.51,278.37,Delhi,Delhi,"DTU, Delhi - CPCB"
03-12-2021 00:00,04-12-2021 00:00,35.18,1.75,5.37,10.55,265.58,213.08,Delhi,Delhi,"DTU, Delhi - CPCB"
04-12-2021 00:00,05-12-2021 00:00,36.75,2.78,5.98,11.35,269.59,207.73,Delhi,Delhi,"DTU, Delhi - CPCB"
05-12-2021 00:00,06-12-2021 00:00,32.11,3.3,6.44,12.29,289.04,231.11,Delhi,Delhi,"DTU, Delhi - CPCB"
06-12-2021 00:00,07-12-2021 00:00,40.96,0.92,5.22,10.4,179.13,128.13,Delhi,Delhi,"DTU, Delhi - CPCB"
07-12-2021 00:00,08-12-2021 00:00,43.03,1.17,5.14,,172.2,113.39,Delhi,Delhi,"DTU, Delhi - CPCB"
08-12-2021 00:00,09-12-2021 00:00,42.46,1.56,5.7,,206.36,153.68,Delhi,Delhi,"DTU, Delhi - CPCB"
09-12-2021 00:00,10-12-2021 00:00,36.09,1.95,7.02,,280.16,182.29,Delhi,Delhi,"DTU, Delhi - CPCB"
10-12-2021 00:00,11-12-2021 00:00,37.94,1.7,5.91,,231.66,167.59,Delhi,Delhi,"DTU, Delhi - CPCB"
11-12-2021 00:00,12-12-2021 00:00,43.22,1.88,5.73,,215.24,149.98,Delhi,Delhi,"DTU, Delhi - CPCB"
12-12-2021 00:00,13-12-2021 00:00,39.75,2.72,6.21,,221.56,151.78,Delhi,Delhi,"DTU, Delhi - CPCB"
13-12-2021 00:00,14-12-2021 00:00,36.15,4.46,7.75,,311.97,258.64,Delhi,Delhi,"DTU, Delhi - CPCB"
14-12-2021 00:00,15-12-2021 00:00,38.44,3.34,7.21,,322.68,261.85,Delhi,Delhi,"DTU, Delhi - CPCB"
15-12-2021 00:00,16-12-2021 00:00,47.97,2.03,5.9,,239.95,190.32,Delhi,Delhi,"DTU, Delhi - CPCB"
16-12-2021 00:00,17-12-2021 00:00,46.07,1.89,6.23,,274.89,229.93,Delhi,Delhi,"DTU, Delhi - CPCB"
17-12-2021 00:00,18-12-2021 00:00,65.35,1.3,5.82,,185.74,153.32,Delhi,Delhi,"DTU, Delhi - CPCB"
18-12-2021 00:00,19-12-2021 00:00,50.7,1.52,5.53,,171.58,133.5,Delhi,Delhi,"DTU, Delhi - CPCB"
19-12-2021 00:00,20-12-2021 00:00,49.59,1.48,5.64,,199.06,153.98,Delhi,Delhi,"DTU, Delhi - CPCB"
20-12-2021 00:00,21-12-2021 00:00,42.68,2.68,6.68,,289.21,224.97,Delhi,Delhi,"DTU, Delhi - CPCB"
21-12-2021 00:00,22-12-2021 00:00,32.37,4.32,7.9,,383.73,357.69,Delhi,Delhi,"DTU, Delhi - CPCB"
22-12-2021 00:00,23-12-2021 00:00,27.96,3.43,8.41,,413.08,344.39,Delhi,Delhi,"DTU, Delhi - CPCB"
23-12-2021 00:00,24-12-2021 00:00,35.02,5.22,10.29,,481.31,403.11,Delhi,Delhi,"DTU, Delhi - CPCB"
24-12-2021 00:00,25-12-2021 00:00,31.14,5.33,10.72,,438.74,357.73,Delhi,Delhi,"DTU, Delhi - CPCB"
25-12-2021 00:00,26-12-2021 00:00,31.15,4.05,9.69,,460.57,392.74,Delhi,Delhi,"DTU, Delhi - CPCB"
26-12-2021 00:00,27-12-2021 00:00,32.49,4.03,9.38,,468.02,416.77,Delhi,Delhi,"DTU, Delhi - CPCB"
27-12-2021 00:00,28-12-2021 00:00,30.76,1.2,7.33,,124.68,105.85,Delhi,Delhi,"DTU, Delhi - CPCB"
28-12-2021 00:00,29-12-2021 00:00,28.12,2.29,8.24,,196.01,154.38,Delhi,Delhi,"DTU, Delhi - CPCB"
29-12-2021 00:00,30-12-2021 00:00,33.1,1.93,8.38,,188.48,140.23,Delhi,Delhi,"DTU, Delhi - CPCB"
30-12-2021 00:00,31-12-2021 00:00,34.15,1.84,7.79,,236.25,180.06,Delhi,Delhi,"DTU, Delhi - CPCB"
31-12-2021 00:00,01-01-2022 00:00,32.06,2.02,7.08,,246.02,193.26,Delhi,Delhi,"DTU, Delhi - CPCB"
01-01-2022 00:00,02-01-2022 00:00,32.37,2.74,7.78,,300.41,258.39,Delhi,Delhi,"DTU, Delhi - CPCB"
02-01-2022 00:00,03-01-2022 00:00,29.64,2.99,8.06,,325.39,277.7,Delhi,Delhi,"DTU, Delhi - CPCB"
03-01-2022 00:00,04-01-2022 00:00,31.7,3.34,8.01,,376.27,305.63,Delhi,Delhi,"DTU, Delhi - CPCB"
04-01-2022 00:00,05-01-2022 00:00,28.56,2.83,7.87,,318.67,253.02,Delhi,Delhi,"DTU, Delhi - CPCB"
05-01-2022 00:00,06-01-2022 00:00,26.9,3.02,8.01,,319.14,291.78,Delhi,Delhi,"DTU, Delhi - CPCB"
06-01-2022 00:00,07-01-2022 00:00,27.78,1.81,6.93,,130.96,110.85,Delhi,Delhi,"DTU, Delhi - CPCB"
07-01-2022 00:00,08-01-2022 00:00,27.84,1.35,6.56,,87.91,69.03,Delhi,Delhi,"DTU, Delhi - CPCB"
08-01-2022 00:00,09-01-2022 00:00,27.01,1.1,6.54,,53.88,48.56,Delhi,Delhi,"DTU, Delhi - CPCB"
09-01-2022 00:00,10-01-2022 00:00,27.27,0.87,6.29,,44.1,39.3,Delhi,Delhi,"DTU, Delhi - CPCB"
10-01-2022 00:00,11-01-2022 00:00,31.21,1.24,7.5,,99.65,86.47,Delhi,Delhi,"DTU, Delhi - CPCB"
11-01-2022 00:00,12-01-2022 00:00,34.49,1.22,7.52,,113.94,93.69,Delhi,Delhi,"DTU, Delhi - CPCB"
12-01-2022 00:00,13-01-2022 00:00,30.86,1.49,7.75,,161.38,115.58,Delhi,Delhi,"DTU, Delhi - CPCB"
13-01-2022 00:00,14-01-2022 00:00,33.83,1.92,12.11,,217.25,156.23,Delhi,Delhi,"DTU, Delhi - CPCB"
14-01-2022 00:00,15-01-2022 00:00,23.39,2.01,13.68,,216.8,161.15,Delhi,Delhi,"DTU, Delhi - CPCB"
15-01-2022 00:00,16-01-2022 00:00,,,,,,,Delhi,Delhi,"DTU, Delhi - CPCB"
16-01-2022 00:00,17-01-2022 00:00,,,,,,,Delhi,Delhi,"DTU, Delhi - CPCB"
17-01-2022 00:00,18-01-2022 00:00,,,,,,,Delhi,Delhi,"DTU, Delhi - CPCB"
18-01-2022 00:00,19-01-2022 00:00,,,,,,,Delhi,Delhi,"DTU, Delhi - CPCB"
19-01-2022 00:00,20-01-2022 00:00,,,,,,,Delhi,Delhi,"DTU, Delhi - CPCB"
20-01-2022 00:00,21-01-2022 00:00,,,,,,,Delhi,Delhi,"DTU, Delhi - CPCB"
21-01-2022 00:00,22-01-2022 00:00,28.03,3.9,10.27,9.76,419.02,333.91,Delhi,Delhi,"DTU, Delhi - CPCB"
22-01-2022 00:00,23-01-2022 00:00,19.13,1.93,9,9.65,170.95,146.49,Delhi,Delhi,"DTU, Delhi - CPCB"
23-01-2022 00:00,24-01-2022 00:00,20.27,1.56,7.93,9.59,128.02,112.86,Delhi,Delhi,"DTU, Delhi - CPCB"
